tWeight,AUC
0.265,0.601017501524676
0.264,0.600961059180897
0.263,0.600900218732408
0.262,0.600846708458435
0.261,0.600795397236817
0.924,0.600778537835429
0.26,0.600765343521299
0.259,0.600721362474198
0.258,0.60067005125258
0.257,0.600604812699381
0.256,0.600562664195909
0.925,0.600528578884406
0.255,0.600520515692438
0.254,0.600481665767499
0.253,0.600439883772753
0.252,0.600381608885344
0.251,0.600340926416776
0.926,0.600305008561644
0.25,0.600296212352224
0.249,0.600230240781572
0.248,0.600177830033777
0.247,0.600148875844436
0.246,0.600105627814787
0.245,0.600060180732783
0.927,0.60005871469788
0.244,0.599991277092325
0.243,0.599926771556577
0.242,0.599870329212798
0.241,0.599838809462376
0.928,0.59981901799118
0.24,0.599803624624695
0.239,0.599741318141302
0.238,0.599666550361231
0.237,0.599651890012197
0.929,0.599636496645712
0.236,0.599605709912742
0.235,0.599541937394446
0.234,0.599480363928504
0.233,0.599429785724338
0.232,0.599400098517545
0.93,0.599361615101332
0.231,0.599335226473072
0.23,0.599287946847439
0.229,0.599239934204354
0.228,0.599190089017639
0.227,0.599157836249765
0.931,0.599105792010696
0.226,0.599096262783824
0.225,0.599058512385063
0.224,0.599014164829236
0.223,0.598965052659974
0.222,0.598923270665228
0.932,0.598858032112028
0.221,0.598856566077125
0.22,0.598822480765622
0.219,0.598776667174892
0.218,0.598728288023081
0.217,0.598665981539689
0.216,0.598627498123475
0.215,0.598578385954213
0.933,0.598567024183712
0.214,0.598528174258773
0.213,0.598493722438544
0.212,0.59844387725183
0.211,0.59839623111747
